year, Bills
2007, 15.93749999999998
2008, 16.87499999999997
2009, 62.34374999999997
2010, 15.156249999999975
2011, 48.12499999999994
2012, 22.031249999999996
2006, 6.8749999999999964
2005, 12.96875
2004, 1.8749999999999862
2003, 18.12499999999998
2002, 0.9374999999999851
2001, 1.8750000000000024
2000, 5.937499999999994
1999, 9.843749999999977
1998, 2.9687499999999853
1997, 9.999999999999977
1996, 4.99999999999998
1995, 7.968749999999978
1994, 0.9374999999999928
1993, 4.99999999999999
1992, 2.9687499999999787
1991, 2.9687499999999893
1990, 1.8749999999999842
1989, 6.874999999999998
1988, 1.8749999999999927
1987, 7.0312499999999885
